Year;Sort;Destination;Total;Other North;Other South;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Caribbean Netherlands;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong SAR;China, Macao SAR;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Cªte d'Ivoire;Croatia;Cuba;Curaçao;Cyprus;Czechia;Dem. People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Fed. States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;R_union;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;TFYR Macedonia;Thailand;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
2010;2010001;WORLD;220,019,266;2,409,516;5,875,724;4,989,209;1,129,071;1,630,181;1,975;7,120;624,284;2,295;41,245;943,685;921,753;14,343;484,511;515,071;1,177,772;35,808;53,756;6,742,845;94,943;1,469,332;491,812;57,314;528,120;15,848;86,162;781,490;1,575,669;47,041;1,531,491;4,517;45,420;1,127,247;1,387,884;281,111;152,986;952,002;278,383;1,268,970;8,576;1,238;238,620;198,851;18,133;565,682;8,648,885;959,608;130,803;2,518,915;108,558;195,519;20,567;136,721;782,050;861,928;1,310,867;68,289;163,040;796,724;103,496;1,226,680;237,154;13,531;73,292;1,187,731;1,153,899;2,611,995;1,337,703;78,268;278,086;161,840;623,562;12,970;1,025;184,310;294,562;1,951,895;4,067;1,200;59,450;79,505;810,934;3,850,095;716,044;11,637;797,195;16,335;63,336;10,037;2,171;924,525;401,766;92,400;438,888;1,119,612;181;587,662;527,760;33,848;13,321,332;3,486,506;1,003,210;2,639,101;780,843;10,295;334,209;2,612,413;999,819;757,067;597,512;3,811,293;407,446;4,279;181,048;728,622;1,197,101;306,309;703,015;243,782;264,173;127,168;3,428;483,907;54,335;157,849;275,237;1,606,627;2,769;851,520;98,411;6,467;14,793;113,363;153,279;6,365;12,413,085;19,407;26,460;58,362;131,352;16,287;2,766,342;794,617;2,483,980;99,897;2,160;1,374,835;888,708;5,737;663,434;610,957;311,263;985,865;5,351;2,617;183,332;20,623;5,006,753;2,615;139,835;4,193;764,182;1,329,786;4,704,919;3,855,177;1,942,186;1,733,923;22,327;2,301,193;833,211;2,789;3,274,229;10,213,313;329,189;3,423;35,314;50,634;388;55,629;104,774;2,264;30,810;213,553;537,339;846,196;32,608;135,569;281,938;23,346;294,714;124,470;3,351;1,578,233;740,273;403,896;1,099,465;1,432,671;3,342,282;1,197,225;260,509;68,700;300,113;626,318;1,079,749;581,539;465,416;766,543;34,975;383,473;2,158;51,812;351,329;599,051;2,695,109;237,009;1,724;3,276;702,606;5,458,664;122,872;4,461,711;267,834;2,654,409;3,240;335,034;1,900,634;7,941;556,641;2,354,845;7,461;144,296;879,636;213,589;607,174
2010;2010002;More developed regions;130,683,517;599,353;2,585,838;381,448;1,124,542;1,547,975;304;7,060;209,740;724;33,129;634,745;723,485;9,314;399,794;481,512;908,129;34,416;9,871;600,133;89,982;1,334,332;458,436;52,174;29,192;15,654;5,427;338,573;1,572,482;5,512;1,227,940;451;12,871;619,400;25,548;25,216;135,105;292,419;177,449;1,156,414;4,402;1,140;17,206;9,836;18,008;310,845;4,635,798;640,763;21,056;1,262,617;34,431;95,984;20,512;109,502;158,202;858,047;1,239,560;60,529;147,838;789,169;34,187;180,565;224,657;8,888;52,571;1,067,776;1,068,457;496,468;1,274,701;22,907;102,353;158,866;300,358;12,969;987;181,583;288,954;1,419,490;70;693;23,456;62,111;692,155;3,175,891;368,755;11,556;685,488;15,872;52,819;430;61;850,828;82,390;38,609;381,946;727,240;180;531,096;508,095;33,181;3,813,744;397,439;898,677;639,649;765,481;10,293;250,821;2,302,558;966,935;572,277;116,135;3,733,843;299,186;1,962;68,641;696,717;276,114;299,172;488,287;1,383;92,539;80,559;3,328;470,813;53,997;123,071;19,049;329,908;969;102,158;97,956;6,089;510;30,556;138,566;..;12,350,531;6,939;25,974;37,865;131,071;13,381;2,575,481;75,755;122,101;5,752;683;151,860;797,051;1,671;639,029;283,025;9,856;617,441;5,307;49;161,097;6,643;1,276,824;207;118,827;3,350;129,394;891,437;3,184,197;3,737,054;1,683,028;1,711,261;6,691;2,018,709;802,792;509;3,137,946;6,391,967;25,820;2,639;23,835;37,586;286;40,791;88,144;2,213;17,415;108,027;300,735;838,657;31,234;77,026;154,742;21,578;293,314;123,045;2,294;366,534;607,701;2;803,279;653,609;53,320;118,081;226,551;2,939;286,063;590,311;229,560;525,002;320,757;569,849;14,433;49,432;2,026;48,793;335,238;559,210;2,535,963;221,625;257;2,158;119,425;4,807,447;46,785;4,000,542;101,107;1,099,254;166;174,399;1,461,999;2,245;452,683;2,052,908;1;371;61,628;62,379;224,774
2010;2010003;Less developed regions;89,335,749;1,810,163;3,289,886;4,607,761;4,529;82,206;1,671;60;414,544;1,571;8,116;308,940;198,268;5,029;84,717;33,559;269,643;1,392;43,885;6,142,712;4,961;135,000;33,376;5,140;498,928;194;80,735;442,917;3,187;41,529;303,551;4,066;32,549;507,847;1,362,336;255,895;17,881;659,583;100,934;112,556;4,174;98;221,414;189,015;125;254,837;4,013,087;318,845;109,747;1,256,298;74,127;99,535;55;27,219;623,848;3,881;71,307;7,760;15,202;7,555;69,309;1,046,115;12,497;4,643;20,721;119,955;85,442;2,115,527;63,002;55,361;175,733;2,974;323,204;1;38;2,727;5,608;532,405;3,997;507;35,994;17,394;118,779;674,204;347,289;81;111,707;463;10,517;9,607;2,110;73,697;319,376;53,791;56,942;392,372;1;56,566;19,665;667;9,507,588;3,089,067;104,533;1,999,452;15,362;2;83,388;309,855;32,884;184,790;481,377;77,450;108,260;2,317;112,407;31,905;920,987;7,137;214,728;242,399;171,634;46,609;100;13,094;338;34,778;256,188;1,276,719;1,800;749,362;455;378;14,283;82,807;14,713;6,365;62,554;12,468;486;20,497;281;2,906;190,861;718,862;2,361,879;94,145;1,477;1,222,975;91,657;4,066;24,405;327,932;301,407;368,424;44;2,568;22,235;13,980;3,729,929;2,408;21,008;843;634,788;438,349;1,520,722;118,123;259,158;22,662;15,636;282,484;30,419;2,280;136,283;3,821,346;303,369;784;11,479;13,048;102;14,838;16,630;51;13,395;105,526;236,604;7,539;1,374;58,543;127,196;1,768;1,400;1,425;1,057;1,211,699;132,572;403,894;296,186;779,062;3,288,962;1,079,144;33,958;65,761;14,050;36,007;850,189;56,537;144,659;196,694;20,542;334,041;132;3,019;16,091;39,841;159,146;15,384;1,467;1,118;583,181;651,217;76,087;461,169;166,727;1,555,155;3,074;160,635;438,635;5,696;103,958;301,937;7,460;143,925;818,008;151,210;382,400
2010;2010004;Least developed countries;9,994,197;396,322;832,719;..;..;10,012;..;..;299,519;..;..;922;..;..;1,996;337;..;..;28,471;1,639;..;..;740;..;98,206;..;73,598;..;..;1,160;15,145;..;..;..;62,747;245,274;16,150;20,850;36,491;2,555;..;..;98,725;90,068;..;613;235,271;129;..;1,523;10,632;66,988;..;504;593,578;..;4,198;..;8;..;205;746,327;220;3,025;..;4,426;..;31,015;..;260;146,396;..;97,582;..;..;868;..;56,269;..;..;32,254;17,179;..;4,463;111,793;..;43;..;..;..;..;..;218,894;46,445;..;..;..;..;..;..;588,852;149,614;10;10,576;12;..;..;3,437;..;14,099;..;..;88,726;316;31;..;83,505;..;4,049;7,688;47,773;3,225;..;..;..;9,689;95,871;205,358;..;203,270;..;..;..;69,817;187;..;563;..;..;..;..;..;4,214;85,780;235,358;1,972;1,446;34,037;373;278;634;..;146,659;133,270;..;..;13,509;..;55,478;..;..;666;..;646;1,078;..;16,768;2,843;..;875;..;857;..;1,445;273,237;..;..;..;..;..;18;..;6,657;1,764;178,888;..;355;51,725;9,535;..;..;49;113;656,118;28,649;330,906;3,610;124;3,952;523,264;..;122;261;913;2,976;23,991;..;47,064;..;74,572;..;29;..;247;8;..;..;288;249,321;25;68;37,815;115,158;55,142;..;527;1,199;71;4,616;81,474;..;..;358;59,408;79,972
2010;2010005;Less developed regions, excluding least developed countries;79,341,552;1,413,841;2,457,167;4,607,761;4,529;72,194;1,671;60;115,025;1,571;8,116;308,018;198,268;5,029;82,721;33,222;269,643;1,392;15,414;6,141,073;4,961;135,000;32,636;5,140;400,722;194;7,137;442,917;3,187;40,369;288,406;4,066;32,549;507,847;1,299,589;10,621;1,731;638,733;64,443;110,001;4,174;98;122,689;98,947;125;254,224;3,777,816;318,716;109,747;1,254,775;63,495;32,547;55;26,715;30,270;3,881;67,109;7,760;15,194;7,555;69,104;299,788;12,277;1,618;20,721;115,529;85,442;2,084,512;63,002;55,101;29,337;2,974;225,622;1;38;1,859;5,608;476,136;3,997;507;3,740;215;118,779;669,741;235,496;81;111,664;463;10,517;9,607;2,110;73,697;100,482;7,346;56,942;392,372;1;56,566;19,665;667;8,918,736;2,939,453;104,523;1,988,876;15,350;2;83,388;306,418;32,884;170,691;481,377;77,450;19,534;2,001;112,376;31,905;837,482;7,137;210,679;234,711;123,861;43,384;100;13,094;338;25,089;160,317;1,071,361;1,800;546,092;455;378;14,283;12,990;14,526;6,365;61,991;12,468;486;20,497;281;2,906;186,647;633,082;2,126,521;92,173;31;1,188,938;91,284;3,788;23,771;327,932;154,748;235,154;44;2,568;8,726;13,980;3,674,451;2,408;21,008;177;634,788;437,703;1,519,644;118,123;242,390;19,819;15,636;281,609;30,419;1,423;136,283;3,819,901;30,132;784;11,479;13,048;102;14,838;16,612;51;6,738;103,762;57,716;7,539;1,019;6,818;117,661;1,768;1,400;1,376;944;555,581;103,923;72,988;292,576;778,938;3,285,010;555,880;33,958;65,639;13,789;35,094;847,213;32,546;144,659;149,630;20,542;259,469;132;2,990;16,091;39,594;159,138;15,384;1,467;830;333,860;651,192;76,019;423,354;51,569;1,500,013;3,074;160,108;437,436;5,625;99,342;220,463;7,460;143,925;817,650;91,802;302,428
2010;2010006;High-income countries;141,789,049;1,165,776;3,342,121;667,254;1,049,901;1,592,508;261;7,065;209,267;2,063;39,547;768,778;152,817;12,623;426,539;470,566;69,526;34,803;13,558;3,024,799;92,554;357,924;462,749;52,571;29,079;15,764;5,401;366,235;783,550;5,484;1,259,123;4,123;12,875;612,950;25,102;25,079;135,054;303,869;177,175;1,202,283;7,396;1,160;17,134;16,386;18,023;316,259;7,967,157;718,420;109,601;1,300,086;34,345;95,414;20,513;110,475;158,095;539,493;1,254,090;64,261;146,662;775,574;23,709;181,289;225,927;8,890;67,089;1,154,218;1,091,274;2,279,466;1,276,242;22,806;126,550;87,924;495,976;12,970;989;181,624;285,560;1,534,330;76;1,051;23,448;62,102;201,580;3,016,668;368,569;11,556;668,444;15,872;62,061;2,560;1,135;851,503;82,180;38,478;410,607;769,446;181;533,148;493,987;33,031;10,426,262;2,211,401;945,163;711,959;766,670;10,293;242,403;2,289,376;995,921;606,966;485,545;937,223;299,252;1,957;139,073;88,430;276,768;185,866;639,940;1,390;92,537;96,579;3,327;363,816;53,755;123,719;19,032;1,363,628;957;102,141;97,859;6,372;619;30,554;139,011;1;12,357,713;19,175;25,931;37,050;38,835;15,838;2,743,200;75,662;292,849;5,639;685;567,982;819,921;3,908;646,885;283,810;9,871;637,109;5,310;2,469;160,434;6,661;3,707,972;2,276;119,922;3,349;131,107;1,048,350;4,587,397;3,761,139;1,685,280;1,720,979;9,525;2,024,942;319,193;511;3,229,291;2,470,522;25,776;2,843;33,904;45,717;287;53,989;88,138;2,164;17,422;117,560;300,666;740,948;31,244;77,031;165,941;22,726;286,765;88,413;2,294;379,818;638,052;17,192;819,385;1,208,826;124,888;611,962;230,137;2,949;285,441;589,317;821,416;33,952;254,072;661,302;14,433;49,444;2,025;48,959;340,848;589,984;2,574,324;13,359;1,688;1,573;119,399;1,644,466;92,695;4,143,014;101,057;1,516,770;1,968;181,836;141,792;7,165;464,799;2,129,472;7,450;343;842,447;61,958;225,011
2010;2010007;Middle-income countries;70,204,762;1,011,106;1,790,639;4,321,955;79,170;28,888;1,714;55;153,008;207;1,566;174,024;768,936;1,056;57,349;44,168;1,108,246;986;40,198;3,717,516;2,332;1,111,408;27,681;4,743;401,384;84;7,163;415,255;792,119;37,716;252,865;338;32,545;514,297;1,300,035;14,001;10,813;648,133;65,351;63,332;1,180;78;138,825;163,676;110;248,629;629,318;241,024;21,202;1,216,789;4,918;42,460;54;25,742;30,943;322,435;52,649;411;16,370;21,150;79,629;371,627;11,043;1,616;696;26,209;62,625;327,198;61,461;55,367;138,245;73,916;116,003;..;36;2,503;9,002;149,584;1,099;..;4,100;224;609,354;829,007;236,150;81;128,708;463;1,275;174;1,036;73,022;103,238;7,801;24,324;317,897;..;54,514;33,773;817;2,414,041;1,273,782;58,047;1,927,142;14,161;2;91,806;319,122;3,118;149,215;111,967;2,874,070;22,818;2,322;41,975;640,192;919,537;120,443;58,842;234,704;123,863;29,203;101;120,091;580;3,001;70,556;242,821;1,812;554,348;552;95;648;12,521;9,188;..;54,809;232;529;21,312;92,517;183;19,269;517,034;2,191,131;93,645;1,475;806,853;65,818;278;13,857;327,147;154,883;232,208;25;148;22,896;13,962;1,246,784;339;19,913;827;633,075;279,897;114,866;94,038;251,238;10,092;12,802;270,706;514,018;287;44,938;7,741,307;38,509;285;431;1,313;101;1,600;16,442;100;13,267;94,533;94,794;105,248;1,009;6,813;115,997;168;7,949;36,008;1,057;820,894;65,295;258,746;276,539;223,665;3,217,394;85,169;4,469;65,665;14,433;35,896;257,883;523,596;211,344;104,730;20,542;259,619;133;2,737;10,433;9,067;120,777;223,650;36;1,588;336,555;3,814,173;30,177;299,284;57,620;1,125,004;893;152,671;1,757,643;568;86,804;224,691;11;143,953;37,071;62,169;319,365
2010;2010008;Upper-middle-income countries;39,705,036;374,894;784,789;2,390,276;78,932;6,671;1,693;55;81,856;207;1,439;135,811;700,478;992;29,848;42,554;850,567;894;1,248;393,417;2,294;821,681;24,877;2,562;31,195;84;40;414,887;791,914;36,638;214,829;338;5,984;511,952;4,669;6,277;1,263;625,317;33,263;48,046;1,162;14;336;3,583;110;243,628;265,676;240,528;21,202;1,211,417;4,064;28,666;54;13,127;4,034;322,246;48,516;259;15,743;20,663;69,642;37,758;9,896;1,267;693;25,785;60,606;144,233;35,891;51,324;3,084;62,934;4,998;..;36;1,427;8,417;95,187;1,081;..;515;119;513,975;792,916;10,790;72;125,571;117;1,275;174;5;59,422;3,319;1,370;24,320;317,781;..;24,292;31,806;762;229,129;1,078,377;43,137;315,732;13,379;..;19,154;300,855;3,064;98,308;35,745;2,611,806;16,791;2,039;11,969;596,414;829,678;99,799;42,133;234,506;684;6,836;101;92,550;571;2,958;57,020;17,350;105;32,932;548;1;648;519;8,881;..;27,627;232;452;21,169;92,515;183;10,350;503,902;1,890,986;91,968;29;206,882;56,455;..;10,559;306,577;378;35,421;24;71;8,334;1,826;78,338;20;18,465;101;629,307;268,966;98,523;86,009;236,866;9,715;1,321;228,185;360,343;287;41,763;3,069,253;4,600;285;431;1,313;101;1,600;16,420;100;5,082;44,468;21,720;105,099;964;806;78,688;125;7,818;36,000;725;121,351;40,971;1,956;257,870;33,236;827,065;22,219;4,346;65,629;12,773;31,741;82,945;479,622;211,019;25,892;49;13,557;133;2,666;10,429;4,377;111,129;197,973;36;1,300;6,039;3,568,230;3,468;216,146;12,323;975,055;800;151,955;1,517,583;399;85,339;129,518;11;143,953;24,600;61,092;302,156
2010;2010009;Lower-middle-income countries;30,499,726;636,212;1,005,850;1,931,679;238;22,217;21;..;71,152;..;127;38,213;68,458;64;27,501;1,614;257,679;92;38,950;3,324,099;38;289,727;2,804;2,181;370,189;..;7,123;368;205;1,078;38,036;..;26,561;2,345;1,295,366;7,724;9,550;22,816;32,088;15,286;18;64;138,489;160,093;..;5,001;363,642;496;..;5,372;854;13,794;..;12,615;26,909;189;4,133;152;627;487;9,987;333,869;1,147;349;3;424;2,019;182,965;25,570;4,043;135,161;10,982;111,005;..;..;1,076;585;54,397;18;..;3,585;105;95,379;36,091;225,360;9;3,137;346;..;..;1,031;13,600;99,919;6,431;4;116;..;30,222;1,967;55;2,184,912;195,405;14,910;1,611,410;782;2;72,652;18,267;54;50,907;76,222;262,264;6,027;283;30,006;43,778;89,859;20,644;16,709;198;123,179;22,367;..;27,541;9;43;13,536;225,471;1,707;521,416;4;94;..;12,002;307;..;27,182;..;77;143;2;..;8,919;13,132;300,145;1,677;1,446;599,971;9,363;278;3,298;20,570;154,505;196,787;1;77;14,562;12,136;1,168,446;319;1,448;726;3,768;10,931;16,343;8,029;14,372;377;11,481;42,521;153,675;..;3,175;4,672,054;33,909;..;..;..;..;..;22;..;8,185;50,065;73,074;149;45;6,007;37,309;43;131;8;332;699,543;24,324;256,790;18,669;190,429;2,390,329;62,950;123;36;1,660;4,155;174,938;43,974;325;78,838;20,493;246,062;..;71;4;4,690;9,648;25,677;..;288;330,516;245,943;26,709;83,138;45,297;149,949;93;716;240,060;169;1,465;95,173;..;..;12,471;1,077;17,209
2010;2010010;Low-income countries;7,545,206;223,133;723,845;..;..;8,385;..;..;262,009;..;..;856;..;..;195;337;..;..;..;530;..;..;680;..;97,657;..;73,598;..;..;3,841;3,231;..;..;..;62,747;242,031;7,119;..;35,857;2,524;..;..;82,661;18,789;..;613;51,212;149;..;1,523;10,632;57,645;..;504;593,012;..;4,088;..;8;..;158;673,764;184;3,025;..;4,426;..;5,331;..;95;13,291;..;11,583;..;..;..;..;55,355;..;..;31,902;17,179;..;4,117;111,325;..;43;..;..;..;..;..;215,520;45,247;..;..;..;..;..;..;480,828;1,284;..;..;12;..;..;3,354;..;860;..;..;85,376;..;..;..;..;..;3,931;7,688;47,773;1,386;..;..;..;9,689;185,649;178;..;194,707;..;..;..;69,817;187;..;563;..;..;..;..;..;3,873;201,921;..;613;..;..;321;..;..;..;146,509;116,548;..;..;..;..;51,997;..;..;..;..;1,120;2,656;..;5,176;2,843;..;5,545;..;857;..;1,484;264,904;..;..;..;..;..;..;..;121;1,460;140,365;..;355;51,725;..;..;..;49;..;377,521;36,825;127,958;3,526;180;..;500,094;..;86;239;890;15;23,991;..;511;..;74,410;..;..;..;..;8;..;..;..;246,652;25;..;17,066;109,157;10,970;..;527;1,199;..;4,616;682;..;..;118;89,462;62,798
