Country;2008;2009;2010;2011;2012;2013;2014;2015;2016
 Afghanistan;2855.5175;3173.0078;3268.0179;3394.2182;3735.887;3937.0201;3786.0334;3543.9408;3550.0697
 Africa;7390.3301;7451.7598;7593.561;7446.5122;7652.6167;7546.4907;7596.6021;7637.9106;7522.1221
Albania;10875.9258;10976.4112;11408.1011;11697.1121;11689.9325;11800.976;11719.7395;11955.8957;12244.7732
 Algeria;16832.0988;16634.5846;16922.1119;16865.8047;16989.0195;16923.2988;17129.3167;17359.9525;17766.6748
 Americas;32939.668;31647.916;32371.0098;32857.0117;33436.8281;33623.8711;33727.8906;33752.5469;33495.1484
 Angola;11858.4783;12275.6761;12299.6185;12753.5134;13462.2665;13779.3959;14022.9154;12999.5285;11868.2187
 Antigua and Barbuda;31843.2587;27656.7348;25661.6181;24606.5988;24917.6302;24845.0525;25470.648;26207.8968;26737.9008
 Argentina;21310.5607;19928.3582;22280.0609;24089.8921;23936.3271;24801.7331;23839.617;24079.8735;23233.8989
 Armenia;9649.1911;8065.8968;8329.6847;8733.0432;9267.6199;9304.1513;9471.3802;9611.1606;9779.7473
 Aruba;43243.4291;38339.5945;37005.154;38089.7525;37194.7917;38240.3995;38043.4747;37627.4984;38253.2065
 Asia;10597.6992;10791.8145;11488.915;12031.6563;12469.3945;13082.1816;13624.5703;14120.8301;14723.0947
 Australia;45984.2959;45545.0476;45726.6821;45701.4805;46091.4975;46891.4528;46774.8457;47305.3637;47778.5405
 Austria;46641.1133;44223.8669;45143.9314;45885.6715;45813.0018;45634.6989;45609.6664;45433.0721;45874.3478
 Azerbaijan;16284.4646;17926.6403;18583.9483;17622.9701;17765.8474;18501.8913;18974.7958;18684.5644;17809.0665
 Bahamas;29738.896;27406.7751;26830.5352;26456.739;26039.2367;25444.846;24470.7306;23580.9697;23453.1841
 Bahrain;46955.5603;40763.6663;40077.9293;40065.8553;43533.3954;45491.6441;46669.6848;47226.3454;47903.454
 Bangladesh;3797.1475;3923.7172;4075.4762;4250.9443;4417.5666;4542.2398;4692.2185;4903.6011;5193.0749
 Barbados;16947.4236;16542.6321;16764.7413;16795.8988;16322.3988;16351.7921;16378.5862;16466.181;16641.0672
 Belarus;15106.3139;14931.2101;16068.5796;17078.3241;17129.1966;17037.7225;17412.9182;16487.212;16128.2338
 Belgium;44851.6372;42545.8175;44656.9604;44199.3189;44548.5906;43541.646;43725.5596;43850.789;44093.8226
 Belize;11005.0796;11323.6286;10903.1721;11142.1095;11058.9774;10903.0085;10859.9517;10665.6912;10232.547
 Benin;3218.6228;3167.0379;3122.4511;3126.7422;3151.2099;3279.5987;3388.2927;3462.9077;3511.9612
 Bhutan;7895.4997;8016.4464;8509.512;8837.9545;8860.6532;8915.0555;9100.6947;9439.3802;9791.9841
 Bolivia;7627.6314;7641.1761;7725.202;7955.9679;7867.2006;8321.4785;8663.9918;9022.8998;6248.6976
 Bosnia and Herzegovina;10387.0693;10053.9004;9861.5443;9853.2298;9735.0521;9990.1739;10016.5758;10178.4711;10410.9254
 Botswana;19037.6819;17623.4959;18208.7004;19460.5307;19938.3245;21131.5549;20989.9768;20526.1692;20933.5025
 Brazil;16799.7743;16474.3288;17399.202;17812.8486;17948.976;18381.2292;17443.9199;16479.4435;15660.01
 Brunei Darussalam;103831.8399;99476.194;98843.9824;97920.5146;96862.5658;94069.55;89965.4498;87556.0984;75232.1737
 Bulgaria;16187.1203;15953.9152;15933.4;16067.6901;16484.5272;16854.0238;17570.4637;18196.3914;18962.4258
 Burkina Faso;2607.17;2576.6683;2657.8091;2715.7121;2848.8783;2912.8009;2919.5764;2983.2051;3042.2925
 Burundi;1235.3603;1216.6965;1228.641;1229.2803;1244.1214;1263.7673;1274.2396;1183.6822;1194.9778
 Cabo Verde;9097.4608;8720.2481;8402.4924;8587.5782;8405.7491;8308.7611;8120.343;8080.4006;8205.7059
 Cambodia;3582.0246;3487.3619;3591.519;3747.6354;3890.549;4029.0796;4189.1898;4376.9161;4637.586
 Cameroon;4638.9243;4609.2847;4754.5331;4492.3569;4774.7876;4747.5709;4979.5885;5079.2524;5153.9989
 Canada;43816.6341;44051.8738;43208.3881;43700.2519;44319.8375;44442.4897;44857.6451;45353.7153;45349.1517
 Caribbean;16213.8154;15842.8027;16036.7979;16072.002;16181.3818;16168.5566;16290.749;16646.7266;16947.7734
 Central African Republic;1546.1258;1549.5721;1576.8664;1568.9758;1576.6177;950.3571;945.3571;922.5728;940.4734
 Central America;19321.7461;18115.0371;18654.1758;18900.1152;19212.2949;19021.6836;18977.1641;19045.2148;19103.3633
 Central Asia;10070.1387;10310.8672;10713.9922;11131.6572;11687.7373;12669.1143;13134.2344;13668.3936;13945.5791
 Chad;3129.1962;3325.9517;3940.8852;3390.3855;3607.2321;3651.3372;4310.8482;4514.1832;4077.5806
 Chile;20976.7588;20517.8178;21230.0094;22346.749;23487.7813;24091.9274;24325.0651;24566.4583;24559.8262
 China;8809.9128;9593.6165;10490.369;11288.2388;12089.3507;13267.0912;14303.9324;15240.1412;16424.4535
