Year;Sort;Destination;Total;Other North;Other South;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;Virgin Islands, British;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cape Verde;Cambodia;Cameroon;Canada;Caribbean Netherlands;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;Colombia;Comoros;Congo (Brazzaville);Cook Islands;Costa Rica;Ivory Coast;Croatia;Cuba;Curacao;Cyprus;Czech Republic;North Korea;Congo (Kinshasa);Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See (Vatican City State);Honduras;Hungary;Iceland;India;Indonesia;Iran;Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia;Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;South Korea;Moldova;Reunion;Romania;Russia;Rwanda;Saint Helena, Ascension and Tristan da Cunha;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;Palestinian Territories;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Macedonia;Thailand;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;United States;Virgin Islands, British;Uruguay;Uzbekistan;Vanuatu;Venezuela;Vietnam;Wallis and Futuna;Yemen;Zambia;Zimbabwe
2010_total;;total_emigration;;;;5022464;1132119;1633486;3906;7120;624970;3818;48835;981201;923056;18600;561959;537922;1178255;37334;55117;6775730;100021;1471187;500757;61676;528181;16528;87894;785732;1615424;48194;1559298;8500;48480;1131510;1387894;282994;152999;990851;278713;1349743;11765;1395;238753;198894;18258;607701;9147079;2640633;108558;196597;41129;160270;782548;932492;1356410;75922;184413;812048;103926;1229285;249777;13631;93293;1291520;1163925;2655548;1408531;78268;281176;164108;633764;12990;1145;296631;304326;2156052;7301;2194;59461;79595;811515;4005251;720341;12121;920408;16780;73594;17585;3347;996583;401598;91536;471773;1494102;181;642803;552514;34549;13719574;3572607;1043176;2696824;860642;11145;347542;2835581;1033032;815659;603081;3812528;424553;8289;185358;728972;1209013;311923;795442;243912;267103;129622;3452;487103;54590;158092;276237;1752423;3190;851236;147115;6865;24655;112892;180289;6435;12451214;31880;26491;59077;133232;19192;2769202;795511;2508861;101027;4264;1403240;1017917;11271;1189500;935995;311291;991550;10681;5159;188084;21876;5042123;4967;156112;6233;765434;1357950;4969917;3917592;1963072;1755030;23020;2424957;834266;3802;3294061;10245021;329780;3545;46763;62108;489;70006;192800;2264;30810;227645;536423;883220;35568;138919;340795;25050;300869;132921;6347;1585952;945199;403896;1159688;1537792;3345735;1222686;264693;69062;312402;648587;1090304;581649;516957;825470;45575;383773;4315;86363;365300;600459;2735396;237069;3189;5884;705516;5478020;128102;5927995;271691;3840093;6220;350006;1901915;14734;600890;2565730;14920;880294;221173;649098
2015_total;;total_emigration;;;;4895401;1141365;1806329;4026;7595;612994;3844;61166;973858;947626;21383;599973;555139;1146432;41807;57984;7287085;100227;1475839;550564;61664;1133540;16641;47881;797070;1652894;77392;1583926;8642;48378;1170933;2871028;380896;223595;1078268;360357;1390259;12323;1352;695195;258270;15958;646794;10236373;2716199;116394;277166;43005;141298;1503290;943761;1537890;78200;178049;872390;109074;1539845;263784;15705;90421;1492949;1109025;3247655;1522687;103900;550032;194283;766010;14713;1006;336780;299380;2368019;7703;2397;99250;102501;833917;4188326;1218867;10973;988855;18361;75684;18310;3227;1082431;733105;147691;507346;1642439;180;703349;611763;39404;16329735;4079061;1164192;1736699;876914;8975;350593;3093025;1106138;869794;705313;3907477;480969;9366;203966;745643;1288869;364226;876219;309232;402689;161527;3883;571824;58078;171679;333251;1969860;3368;1929178;149515;7691;23807;200204;190741;6695;12556829;32620;28997;67160;137564;19374;2860186;905495;2829441;181563;4519;1702816;1093221;12303;1447172;647567;682340;1470550;10692;5183;194251;21899;5971319;4863;147220;6393;844033;1445533;5735512;4320262;2233032;1886262;24455;2523429;925572;4206;3432596;10389486;515565;3564;48948;65198;496;74172;209662;2310;82851;288434;726092;971066;41311;210972;389169;25660;342447;142943;7219;1933798;1104497;1423014;1325263;1747963;3735751;1900825;282770;87123;342492;670691;6250341;583842;551102;930430;48981;806970;4508;97373;375225;755025;3143379;241456;3429;6312;735645;5861925;142776;6305646;310818;3330090;6463;360503;1974909;15902;666655;2862047;15682;1089821;272513;745758
2010;2010001;WORLD;220019266;2409516;5875724;4989209;1129071;1630181;1975;7120;624284;2295;41245;943685;921753;14343;484511;515071;1177772;35808;53756;6742845;94943;1469332;491812;57314;528120;15848;86162;781490;1575669;47041;1531491;4517;45420;1127247;1387884;281111;152986;952002;278383;1268970;8576;1238;238620;198851;18133;565682;8648885;2518915;108558;195519;20567;136721;782050;861928;1310867;68289;163040;796724;103496;1226680;237154;13531;73292;1187731;1153899;2611995;1337703;78268;278086;161840;623562;12970;1025;184310;294562;1951895;4067;1200;59450;79505;810934;3850095;716044;11637;797195;16335;63336;10037;2171;924525;401766;92400;438888;1119612;181;587662;527760;33848;13321332;3486506;1003210;2639101;780843;10295;334209;2612413;999819;757067;597512;3811293;407446;4279;181048;728622;1197101;306309;703015;243782;264173;127168;3428;483907;54335;157849;275237;1606627;2769;851520;98411;6467;14793;113363;153279;6365;12413085;19407;26460;58362;131352;16287;2766342;794617;2483980;99897;2160;1374835;888708;5737;663434;610957;311263;985865;5351;2617;183332;20623;5006753;2615;139835;4193;764182;1329786;4704919;3855177;1942186;1733923;22327;2301193;833211;2789;3274229;10213313;329189;3423;35314;50634;388;55629;104774;2264;30810;213553;537339;846196;32608;135569;281938;23346;294714;124470;3351;1578233;740273;403896;1099465;1432671;3342282;1197225;260509;68700;300113;626318;1079749;581539;465416;766543;34975;383473;2158;51812;351329;599051;2695109;237009;1724;3276;702606;5458664;122872;4461711;267834;2654409;3240;335034;1900634;7941;556641;2354845;7461;879636;213589;607174
2010;2010014;Burundi;235259;2660;16897;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;497;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;137611;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;248;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;847;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;52794;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;731;..;..;..;22974;..;..;..;..;..;..;..;..;..;..;..
2010;2010015;Comoros;12618;602;761;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;486;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;77;..;..;..;..;..;..;..;..;..;..;..;..;9689;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;857;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;146;..;..;..;..;..;..;..;..;..;..;..
2010;2010016;Djibouti;101575;1518;4558;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;11141;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;84118;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;240;..;..
2010;2010017;Eritrea;15676;682;1507;..;..;..;..;..;341;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1029;..;..;..;..;..;..;..;..;..;..;133;..;189;..;..;..;..;..;..;..;..;..;..;1659;..;..;..;..;..;..;..;..;..;..;107;..;..;..;..;429;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;117;..;..;..;..;..;..;..;..;..;..;..;345;..;..;..;..;..;..;..;..;..;..;..;..;..;759;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1088;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;459;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2415;120;1465;..;..;..;205;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1498;..;..;56;517;..;..;..;..;..;..;..;..;..;237;319
2010;2010018;Ethiopia;567720;14269;42807;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;32;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;83;..;3025;..;..;..;..;..;..;6354;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;122;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;361609;..;122021;..;..;..;17102;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;178;..;..;..;..;..;..;..;..;..;..;..;..;118;..;..
2010;2010019;Kenya;926959;20681;38516;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4256;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5531;..;..;..;..;..;..;..;..;1389;..;24091;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;589;..;67;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6201;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;398753;110;53218;..;..;..;7459;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;326978;..;..;..;39120;..;..;..;..;..;..;..;..;..;..;..
2010;2010020;Madagascar;28905;4309;3445;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1784;..;9876;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8066;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1425;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
